n,sigma,config,pattern,method,level_mse,deriv_mse
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Raw,0.02464705771048058,0.016987254146026386
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Parametric linear,0.014937122252041208,0.0001762821202639095
200,1.0,"$N{=}200, \sigma{=}1$",no effect,James-Stein,0.01291323079311745,0.008802039027175506
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Empirical Bayes,0.0008945713671183659,0.0005973921589582883
200,1.0,"$N{=}200, \sigma{=}1$",no effect,LOESS,0.010773900294733308,0.011942167148379418
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Kalman smoother,0.004533741535254177,0.0003292202201225285
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Raw,0.02464705771048058,0.01698725414602639
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Parametric linear,0.09590835099346637,0.0015384348726167642
200,1.0,"$N{=}200, \sigma{=}1$",gradual,James-Stein,0.01291323079311745,0.008802039027175506
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Empirical Bayes,0.018586442362187178,0.0036075833159152585
200,1.0,"$N{=}200, \sigma{=}1$",gradual,LOESS,0.01087299523062852,0.011968461564813158
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Kalman smoother,0.005025902335438352,0.0006487379758732192
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Raw,0.02464705771048058,0.01698725414602639
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Parametric linear,0.09610506862067972,0.003520168674885982
200,1.0,"$N{=}200, \sigma{=}1$",immediate,James-Stein,0.01291323079311745,0.008802039027175506
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Empirical Bayes,0.018784174162635735,0.0037441157758185692
200,1.0,"$N{=}200, \sigma{=}1$",immediate,LOESS,0.012412920052542404,0.012564877456563026
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Kalman smoother,0.007436866435606352,0.0024088422424691242
200,1.0,"$N{=}200, \sigma{=}1$",fadeout,Raw,0.02464705771048058,0.01698725414602639
200,1.0,"$N{=}200, \sigma{=}1$",fadeout,Parametric linear,0.06796981593870322,0.005337656394041382
200,1.0,"$N{=}200, \sigma{=}1$",fadeout,James-Stein,0.01291323079311745,0.008802039027175506
200,1.0,"$N{=}200, \sigma{=}1$",fadeout,Empirical Bayes,0.016380441366045443,0.0036911464893501136
200,1.0,"$N{=}200, \sigma{=}1$",fadeout,LOESS,0.013588062835128593,0.013020289866064348
200,1.0,"$N{=}200, \sigma{=}1$",fadeout,Kalman smoother,0.009489980489736283,0.00388318002697235
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Raw,0.02464705771048058,0.01698725414602639
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Parametric linear,0.04026037658849221,0.0007094061761008207
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,James-Stein,0.01415463402822062,0.0094094464841278
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Empirical Bayes,0.021747891510025846,0.0033295464408819417
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,LOESS,0.010789513244905027,0.011949042141811243
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Kalman smoother,0.00469232288889588,0.0004160943412606646
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Raw,0.009858823084192232,0.006794901658410554
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Parametric linear,0.005974848900816483,7.051284810556378e-05
500,1.0,"$N{=}500, \sigma{=}1$",no effect,James-Stein,0.00516529231724698,0.003520815610870202
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Empirical Bayes,0.00035782854684734635,0.00023895686358331537
500,1.0,"$N{=}500, \sigma{=}1$",no effect,LOESS,0.004309560117893325,0.004776866859351769
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Kalman smoother,0.0022857066162930545,0.0002172152341082213
500,1.0,"$N{=}500, \sigma{=}1$",gradual,Raw,0.009858823084192232,0.006794901658410555
500,1.0,"$N{=}500, \sigma{=}1$",gradual,Parametric linear,0.08649365288899001,0.001427926431795367
500,1.0,"$N{=}500, \sigma{=}1$",gradual,James-Stein,0.00516529231724698,0.003520815610870202
500,1.0,"$N{=}500, \sigma{=}1$",gradual,Empirical Bayes,0.0067487577332563066,0.002237019574232549
500,1.0,"$N{=}500, \sigma{=}1$",gradual,LOESS,0.004406738591655288,0.004804185594432691
500,1.0,"$N{=}500, \sigma{=}1$",gradual,Kalman smoother,0.002518960027362464,0.00047069675830787715
500,1.0,"$N{=}500, \sigma{=}1$",immediate,Raw,0.009858823084192232,0.006794901658410554
