n,sigma,config,pattern,test,rejection
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Raw Wald,0.038
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Parametric slope,0.049
200,1.0,"$N{=}200, \sigma{=}1$",no effect,EB Wald,0.059
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Kalman Wald,0.053
200,1.0,"$N{=}200, \sigma{=}1$",no effect,Kalman deriv,0.042
200,1.0,"$N{=}200, \sigma{=}1$",small pretrend,Raw Wald,0.048
200,1.0,"$N{=}200, \sigma{=}1$",small pretrend,Parametric slope,0.063
200,1.0,"$N{=}200, \sigma{=}1$",small pretrend,EB Wald,0.07
200,1.0,"$N{=}200, \sigma{=}1$",small pretrend,Kalman Wald,0.07
200,1.0,"$N{=}200, \sigma{=}1$",small pretrend,Kalman deriv,0.063
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Raw Wald,0.09
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Parametric slope,0.094
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,EB Wald,0.104
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Kalman Wald,0.131
200,1.0,"$N{=}200, \sigma{=}1$",anticipation,Kalman deriv,0.133
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Raw Wald,0.038
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Parametric slope,0.049
200,1.0,"$N{=}200, \sigma{=}1$",gradual,EB Wald,0.059
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Kalman Wald,0.053
200,1.0,"$N{=}200, \sigma{=}1$",gradual,Kalman deriv,0.042
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Raw Wald,0.038
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Parametric slope,0.049
200,1.0,"$N{=}200, \sigma{=}1$",immediate,EB Wald,0.059
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Kalman Wald,0.053
200,1.0,"$N{=}200, \sigma{=}1$",immediate,Kalman deriv,0.042
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Raw Wald,0.052
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Parametric slope,0.07
500,1.0,"$N{=}500, \sigma{=}1$",no effect,EB Wald,0.053
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Kalman Wald,0.059
500,1.0,"$N{=}500, \sigma{=}1$",no effect,Kalman deriv,0.066
500,1.0,"$N{=}500, \sigma{=}1$",small pretrend,Raw Wald,0.086
500,1.0,"$N{=}500, \sigma{=}1$",small pretrend,Parametric slope,0.099
500,1.0,"$N{=}500, \sigma{=}1$",small pretrend,EB Wald,0.068
500,1.0,"$N{=}500, \sigma{=}1$",small pretrend,Kalman Wald,0.105
500,1.0,"$N{=}500, \sigma{=}1$",small pretrend,Kalman deriv,0.12
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Raw Wald,0.248
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Parametric slope,0.225
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,EB Wald,0.174
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Kalman Wald,0.326
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Kalman deriv,0.355
