q_level,q_slope,pattern,level_mse,deriv_mse
0.0005,0.0002,no effect,0.003104405411258596,0.00012188090410221426
0.0005,0.0002,gradual,0.00478868130995687,0.0008665863715629714
0.0005,0.0002,anticipation,0.004087062128986789,0.0003983391581960595
0.001,0.0005,no effect,0.0037384862521118115,0.00021362212663079283
0.001,0.0005,gradual,0.0046153731719480945,0.0008280312078854966
0.001,0.0005,anticipation,0.004130932486993777,0.00039582971377157526
0.002,0.001,no effect,0.004384322896821873,0.00031917239754512947
0.002,0.001,gradual,0.0048765525612219215,0.0008679284090560053
0.002,0.001,anticipation,0.0045470249975286545,0.0004640013415176628
0.005,0.002,no effect,0.005351958401613505,0.0004481085406140032
0.005,0.002,gradual,0.005604289759129208,0.0009628962763328473
0.005,0.002,anticipation,0.005408700517864787,0.0005782581634907739
0.01,0.005,no effect,0.006764202426070282,0.0007502922515826149
0.01,0.005,gradual,0.006890598338410009,0.0012202116969994021
0.01,0.005,anticipation,0.0067805484953139036,0.0008618527207665938
0.02,0.01,no effect,0.008474772378478846,0.0010423530664723595
0.02,0.01,gradual,0.008543594360988312,0.0014970957579689328
0.02,0.01,anticipation,0.008480119933978219,0.0011492405867553602
