pattern,method,level_mse,deriv_mse
sawtooth,Raw,0.02464705771048058,0.046386405442977785
sawtooth,Parametric linear,0.03785135739238098,0.04517628212026391
sawtooth,James-Stein,0.01291323079311745,0.02469708614065934
sawtooth,Empirical Bayes,0.011974128249051884,0.023680829308386712
sawtooth,Savitzky-Golay,0.019303556610189197,0.05403937031712649
sawtooth,Kalman smoother,0.015767707378772002,0.0452418489791341
step_multiple,Raw,0.024647057710480577,0.046386405442977785
step_multiple,Parametric linear,0.05057621141525871,0.007262253758919429
step_multiple,James-Stein,0.01291323079311745,0.02469708614065934
step_multiple,Empirical Bayes,0.014297141424338475,0.00835102371943045
step_multiple,Savitzky-Golay,0.012609059988121434,0.01720677538976045
step_multiple,Kalman smoother,0.0074833355926646455,0.0062332311963806
immediate,Raw,0.02464705771048058,0.046386405442977785
immediate,Parametric linear,0.09610506862067972,0.006853502008219316
immediate,James-Stein,0.01291323079311745,0.02469708614065934
immediate,Empirical Bayes,0.018784174162635735,0.01090039685749581
immediate,Savitzky-Golay,0.012412920052542404,0.015876131229371395
immediate,Kalman smoother,0.007289543337668955,0.0058384175010259935
